,O*NET職業代碼,職業名稱,任務摘要,語意相似度,自動化風險分數
0,11-1011,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.092,0.015
1,11-1011,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.092,0.015
2,11-1011,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.194,0.015
3,11-1011,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.194,0.015
4,11-1011,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",0.007,0.015
5,11-1011,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",0.007,0.015
6,11-1011,Chief Executives,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.199,0.015
7,11-1011,Chief Executives,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.199,0.015
8,11-1011,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",0.067,0.015
9,11-1011,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",0.067,0.015
10,11-1011,Chief Executives,Implement corrective action plans to solve organizational or departmental problems.,0.231,0.015
11,11-1011,Chief Executives,Implement corrective action plans to solve organizational or departmental problems.,0.231,0.015
12,11-1011,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.071,0.015
13,11-1011,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.071,0.015
14,11-1011,Chief Executives,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",0.039,0.015
15,11-1011,Chief Executives,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",0.039,0.015
16,11-1011,Chief Executives,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0.104,0.015
17,11-1011,Chief Executives,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0.104,0.015
18,11-1011,Chief Executives,Appoint department heads or managers and assign or delegate responsibilities to them.,0.059,0.015
19,11-1011,Chief Executives,Appoint department heads or managers and assign or delegate responsibilities to them.,0.059,0.015
20,11-1011,Chief Executives,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.065,0.015
21,11-1011,Chief Executives,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.065,0.015
22,11-1011,Chief Executives,Review reports submitted by staff members to recommend approval or to suggest changes.,-0.022,0.015
23,11-1011,Chief Executives,Review reports submitted by staff members to recommend approval or to suggest changes.,-0.022,0.015
24,11-1011,Chief Executives,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",0.004,0.015
25,11-1011,Chief Executives,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",0.004,0.015
26,11-1011,Chief Executives,Establish departmental responsibilities and coordinate functions among departments and sites.,0.126,0.015
27,11-1011,Chief Executives,Establish departmental responsibilities and coordinate functions among departments and sites.,0.126,0.015
28,11-1011,Chief Executives,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",-0.007,0.015
29,11-1011,Chief Executives,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",-0.007,0.015
30,11-1011,Chief Executives,"Serve as liaisons between organizations, shareholders, and outside organizations.",0.005,0.015
31,11-1011,Chief Executives,"Serve as liaisons between organizations, shareholders, and outside organizations.",0.005,0.015
32,11-1011,Chief Executives,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",0.243,0.015
33,11-1011,Chief Executives,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",0.243,0.015
34,11-1011,Chief Executives,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",0.025,0.015
35,11-1011,Chief Executives,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",0.025,0.015
36,11-1011,Chief Executives,Attend and participate in meetings of municipal councils or council committees.,-0.089,0.015
37,11-1011,Chief Executives,Attend and participate in meetings of municipal councils or council committees.,-0.089,0.015
38,11-1011,Chief Executives,Organize or approve promotional campaigns.,-0.068,0.015
39,11-1011,Chief Executives,Organize or approve promotional campaigns.,-0.068,0.015
40,11-1011,Chief Executives,Nominate citizens to boards or commissions.,-0.131,0.015
41,11-1011,Chief Executives,Nominate citizens to boards or commissions.,-0.131,0.015
42,11-1011,Chief Executives,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",0.119,0.015
43,11-1011,Chief Executives,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",0.119,0.015
44,11-1011,Chief Executives,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.021,0.015
45,11-1011,Chief Executives,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.021,0.015
46,11-1011,Chief Executives,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",0.087,0.015
47,11-1011,Chief Executives,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",0.087,0.015
48,11-1011,Chief Executives,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",-0.025,0.015
49,11-1011,Chief Executives,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",-0.025,0.015
50,11-1011,Chief Executives,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",-0.022,0.015
51,11-1011,Chief Executives,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",-0.022,0.015
52,11-1011,Chief Executives,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0.027,0.015
53,11-1011,Chief Executives,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0.027,0.015
54,11-1011,Chief Executives,Refer major policy matters to elected representatives for final decisions.,-0.064,0.015
55,11-1011,Chief Executives,Refer major policy matters to elected representatives for final decisions.,-0.064,0.015
56,11-1011,Chief Executives,Direct or conduct studies or research on issues affecting areas of responsibility.,0.087,0.015
57,11-1011,Chief Executives,Direct or conduct studies or research on issues affecting areas of responsibility.,0.087,0.015
58,11-1011,Chief Executives,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.015,0.015
59,11-1011,Chief Executives,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.015,0.015
60,11-1011,Chief Executives,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",-0.007,0.015
61,11-1011,Chief Executives,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",-0.007,0.015
62,11-1011,Chief Sustainability Officers,Monitor and evaluate effectiveness of sustainability programs.,0.192,0.015
63,11-1011,Chief Sustainability Officers,Monitor and evaluate effectiveness of sustainability programs.,0.192,0.015
64,11-1011,Chief Sustainability Officers,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",0.144,0.015
65,11-1011,Chief Sustainability Officers,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",0.144,0.015
66,11-1011,Chief Sustainability Officers,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.291,0.015
67,11-1011,Chief Sustainability Officers,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.291,0.015
68,11-1011,Chief Sustainability Officers,Supervise employees or volunteers working on sustainability projects.,0.217,0.015
69,11-1011,Chief Sustainability Officers,Supervise employees or volunteers working on sustainability projects.,0.217,0.015
70,11-1011,Chief Sustainability Officers,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0.077,0.015
71,11-1011,Chief Sustainability Officers,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0.077,0.015
72,11-1011,Chief Sustainability Officers,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0.175,0.015
73,11-1011,Chief Sustainability Officers,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0.175,0.015
74,11-1011,Chief Sustainability Officers,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,0.167,0.015
75,11-1011,Chief Sustainability Officers,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,0.167,0.015
76,11-1011,Chief Sustainability Officers,"Create and maintain sustainability program documents, such as schedules and budgets.",0.21,0.015
77,11-1011,Chief Sustainability Officers,"Create and maintain sustainability program documents, such as schedules and budgets.",0.21,0.015
78,11-1011,Chief Sustainability Officers,Formulate or implement sustainability campaign or marketing strategies.,0.037,0.015
79,11-1011,Chief Sustainability Officers,Formulate or implement sustainability campaign or marketing strategies.,0.037,0.015
80,11-1011,Chief Sustainability Officers,"Research environmental sustainability issues, concerns, or stakeholder interests.",0.07,0.015
81,11-1011,Chief Sustainability Officers,"Research environmental sustainability issues, concerns, or stakeholder interests.",0.07,0.015
82,11-1011,Chief Sustainability Officers,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.194,0.015
83,11-1011,Chief Sustainability Officers,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.194,0.015
