ID,公司,職務,類別,工作內容,風險等級,自動化風險分數
372826fd-1bbd-46ed-bea8-36289a266b54,和司特股份有限公司,人工智慧生成應用工程師RAG,AI工程師,"【工作內容】
- 了解公司內部使用者需求並依需求開發LLM相關應用 
- 公司內部知識庫(Knowledge base system)開發與維護
- 公司內部問答系統及RAG系統開發
- 管理系統開發專案
- 其他主管交辦任務

【職位必備條件】
1. 精熟 Python、資料處理 (如：pandas, polars, numpy等)、及深度學習套件 (如：PyTorch, TensorFlow等) 
2. 熟悉大型語言模型 (LLM) 平台及開發 (如：OpenAI GPT, Google Gemma/Gemini, Anthropic Claude, HuggingFace等) 與部屬
3. 具 RAG 系統開發經驗，並熟悉相關開發工具：
a. 向量資料庫 (如：ChromaDB, Pinecone等)
b. GenAI 框架與技術 (如：LangChain, Llamaindex等)
4. 基礎 SQL 及 API 概念
5. 與系統使用者溝通、了解需求並依需求實作系統功能之能力


►採季獎金獎勵制度，表現優異可挑戰到百萬年薪
►每季進行考核，具有完善獎勵與升遷制度",低風險,0.257
d91a70d1-a325-4233-935f-110c94f943f6,NCCC_財團法人聯合信用卡處理中心,H組-機房操作人員（工作地點：新北市土城區）,其他資訊專業人員,"一、大學（含）以上資訊或電機相關科系畢業，非資訊或電機相關科系須具1年（含）以上
        系統操作工作經驗。
二、需配合三班（早班、小夜班、大夜班）及假日輪值工作。
三、具服務熱忱，主動積極並擅溝通協調。

※筆試、性向測驗： 114年6月21日（六）於台北市舉辦；考試科目：國文（論文與公 
                                    文）、英文（選擇題）、性向測驗、電腦概論（選擇題）。
※面試：預訂於114年6月24日至30日間舉辦。

【福利與待遇】
一、月薪：NT$41,125~NT$44,215（夜勤津貼另計）。
二、福利：
  （一）年終獎金、三節福利金、團保、健康檢查、自強活動、生日禮、生育津貼、子女教
              育津貼等。
  （二）除按月提繳6%勞退公提金，本中心另再按月提撥月提繳工資3%至本中心信託專
              戶，待成就給付條件後給付。",低風險,0.313
d91a70d1-a325-4233-935f-110c94f943f6,NCCC_財團法人聯合信用卡處理中心,H組-機房操作人員（工作地點：新北市土城區）,資訊設備管制人員,"一、大學（含）以上資訊或電機相關科系畢業，非資訊或電機相關科系須具1年（含）以上
        系統操作工作經驗。
二、需配合三班（早班、小夜班、大夜班）及假日輪值工作。
三、具服務熱忱，主動積極並擅溝通協調。

※筆試、性向測驗： 114年6月21日（六）於台北市舉辦；考試科目：國文（論文與公 
                                    文）、英文（選擇題）、性向測驗、電腦概論（選擇題）。
※面試：預訂於114年6月24日至30日間舉辦。

【福利與待遇】
一、月薪：NT$41,125~NT$44,215（夜勤津貼另計）。
二、福利：
  （一）年終獎金、三節福利金、團保、健康檢查、自強活動、生日禮、生育津貼、子女教
              育津貼等。
  （二）除按月提繳6%勞退公提金，本中心另再按月提撥月提繳工資3%至本中心信託專
              戶，待成就給付條件後給付。",中風險,0.332
d91a70d1-a325-4233-935f-110c94f943f6,NCCC_財團法人聯合信用卡處理中心,H組-機房操作人員（工作地點：新北市土城區）,網路管理工程師,"一、大學（含）以上資訊或電機相關科系畢業，非資訊或電機相關科系須具1年（含）以上
        系統操作工作經驗。
二、需配合三班（早班、小夜班、大夜班）及假日輪值工作。
三、具服務熱忱，主動積極並擅溝通協調。

※筆試、性向測驗： 114年6月21日（六）於台北市舉辦；考試科目：國文（論文與公 
                                    文）、英文（選擇題）、性向測驗、電腦概論（選擇題）。
※面試：預訂於114年6月24日至30日間舉辦。

【福利與待遇】
一、月薪：NT$41,125~NT$44,215（夜勤津貼另計）。
二、福利：
  （一）年終獎金、三節福利金、團保、健康檢查、自強活動、生日禮、生育津貼、子女教
              育津貼等。
  （二）除按月提繳6%勞退公提金，本中心另再按月提撥月提繳工資3%至本中心信託專
              戶，待成就給付條件後給付。",低風險,0.3
d16b41f4-a8cc-4995-ae83-19a72766889a,穩懋半導體股份有限公司,[F]資訊_ERP系統工程師(華亞廠),MIS程式設計師,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/85

企業資源規劃系統 (ERP)
1.系統分析/開發/維護
2.企業流程再造、優化
3.與其他系統整合

本公司ERP系統開發並非使用網頁設計相關程式語言及工具，但是錄取後會提供完整教育訓練。",低風險,0.191
84f66376-d24b-448c-b3a5-c96e139b0575,信孚產業股份有限公司,IT Manager(出差地美國.歐.澳),MIS高階主管,"• Ability to maintain operation ERP system of Microsoft Dynamics 365 Business Central (upgrades, training, troubleshooting)
• Microsoft Dynamics 365 Business Central Customization (Modifier, VBA, .NET Tools for Microsoft Dynamics 365 Business Central)
• Troubleshoot hardware and software issues related to business operations
• Lead large IT projects, including the design and deployment of new IT systems and services
• Monitor performance of information technology systems to determine cost and productivity levels, and to make recommendations for improving the IT infrastructure
• Help define IT infrastructure strategy, architecture, and processes
• Analyze business requirements by partnering with key stakeholders across the organization to develop solutions for IT needs
• Monitor/Maintain company active directory, DNS, DFS, DHCP, Group Policy
• IIS Administration (Public and Private websites)
• Hyper V configuration and administration
• Monitor and maintain company’s firewall, Switches, WAPs and VPNs
• Monitor company backups and implement Disaster Recovery procedures.
• EDI troubleshooting and Support (850, 810, 846, 856, 997)
• Assess vendors and develop test strategies for new hardware and software
• HVAC scheduling, monitoring and troubleshooting
• Negotiate Vendor contracts and Purchase Computer related equipment
• Ability to learn quickly and work independently
• Able to work outside of regular business hours if assigned/ required
• Other duties as assigned.",低風險,0.144
84f66376-d24b-448c-b3a5-c96e139b0575,信孚產業股份有限公司,IT Manager(出差地美國.歐.澳),軟體工程研發高階主管,"• Ability to maintain operation ERP system of Microsoft Dynamics 365 Business Central (upgrades, training, troubleshooting)
• Microsoft Dynamics 365 Business Central Customization (Modifier, VBA, .NET Tools for Microsoft Dynamics 365 Business Central)
• Troubleshoot hardware and software issues related to business operations
• Lead large IT projects, including the design and deployment of new IT systems and services
• Monitor performance of information technology systems to determine cost and productivity levels, and to make recommendations for improving the IT infrastructure
• Help define IT infrastructure strategy, architecture, and processes
• Analyze business requirements by partnering with key stakeholders across the organization to develop solutions for IT needs
• Monitor/Maintain company active directory, DNS, DFS, DHCP, Group Policy
• IIS Administration (Public and Private websites)
• Hyper V configuration and administration
• Monitor and maintain company’s firewall, Switches, WAPs and VPNs
• Monitor company backups and implement Disaster Recovery procedures.
• EDI troubleshooting and Support (850, 810, 846, 856, 997)
• Assess vendors and develop test strategies for new hardware and software
• HVAC scheduling, monitoring and troubleshooting
• Negotiate Vendor contracts and Purchase Computer related equipment
• Ability to learn quickly and work independently
• Able to work outside of regular business hours if assigned/ required
• Other duties as assigned.",低風險,0.143
84f66376-d24b-448c-b3a5-c96e139b0575,信孚產業股份有限公司,IT Manager(出差地美國.歐.澳),電子商務技術高階主管,"• Ability to maintain operation ERP system of Microsoft Dynamics 365 Business Central (upgrades, training, troubleshooting)
• Microsoft Dynamics 365 Business Central Customization (Modifier, VBA, .NET Tools for Microsoft Dynamics 365 Business Central)
• Troubleshoot hardware and software issues related to business operations
• Lead large IT projects, including the design and deployment of new IT systems and services
• Monitor performance of information technology systems to determine cost and productivity levels, and to make recommendations for improving the IT infrastructure
• Help define IT infrastructure strategy, architecture, and processes
• Analyze business requirements by partnering with key stakeholders across the organization to develop solutions for IT needs
• Monitor/Maintain company active directory, DNS, DFS, DHCP, Group Policy
• IIS Administration (Public and Private websites)
• Hyper V configuration and administration
• Monitor and maintain company’s firewall, Switches, WAPs and VPNs
• Monitor company backups and implement Disaster Recovery procedures.
• EDI troubleshooting and Support (850, 810, 846, 856, 997)
• Assess vendors and develop test strategies for new hardware and software
• HVAC scheduling, monitoring and troubleshooting
• Negotiate Vendor contracts and Purchase Computer related equipment
• Ability to learn quickly and work independently
• Able to work outside of regular business hours if assigned/ required
• Other duties as assigned.",低風險,0.151
48ca5dca-d96f-4d22-ac0a-5629ba7f8652,穩懋半導體股份有限公司,[F]資訊_資料庫系統工程師(龜山廠),資料庫管理人員,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】
請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/81

1. 資料庫系統維運(DB2、SQL Server、Oracle)
2. 作業系統維運(Windows Server、Red Hat、AIX)
3. 資料庫/系統監控、更新、異常排除、效能調教
4. 虛擬平台維運(vSphere、Docker)
5. 新技術研究與專案導入
6. 主管交辦事項
7. 需配合On call
8. 熟悉一種以上資料庫產品與Linux尤佳",中風險,0.367
48ca5dca-d96f-4d22-ac0a-5629ba7f8652,穩懋半導體股份有限公司,[F]資訊_資料庫系統工程師(龜山廠),系統工程師,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】
請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/81

1. 資料庫系統維運(DB2、SQL Server、Oracle)
2. 作業系統維運(Windows Server、Red Hat、AIX)
3. 資料庫/系統監控、更新、異常排除、效能調教
4. 虛擬平台維運(vSphere、Docker)
5. 新技術研究與專案導入
6. 主管交辦事項
7. 需配合On call
8. 熟悉一種以上資料庫產品與Linux尤佳",中風險,0.351
