uuid,職缺名稱,公司名稱,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
372826fd-1bbd-46ed-bea8-36289a266b54,人工智慧生成應用工程師RAG,和司特股份有限公司,1人,AI工程師,"月薪40,000~45,000元",人工智慧、深度學習、語言模型、生成式AI,碩士,台中市西屯區中工二路192號14樓,不拘,"【工作內容】
- 了解公司內部使用者需求並依需求開發LLM相關應用 
- 公司內部知識庫(Knowledge base system)開發與維護
- 公司內部問答系統及RAG系統開發
- 管理系統開發專案
- 其他主管交辦任務

【職位必備條件】
1. 精熟 Python、資料處理 (如：pandas, polars, numpy等)、及深度學習套件 (如：PyTorch, TensorFlow等) 
2. 熟悉大型語言模型 (LLM) 平台及開發 (如：OpenAI GPT, Google Gemma/Gemini, Anthropic Claude, HuggingFace等) 與部屬
3. 具 RAG 系統開發經驗，並熟悉相關開發工具：
a. 向量資料庫 (如：ChromaDB, Pinecone等)
b. GenAI 框架與技術 (如：LangChain, Llamaindex等)
4. 基礎 SQL 及 API 概念
5. 與系統使用者溝通、了解需求並依需求實作系統功能之能力


►採季獎金獎勵制度，表現優異可挑戰到百萬年薪
►每季進行考核，具有完善獎勵與升遷制度"
d91a70d1-a325-4233-935f-110c94f943f6,H組-機房操作人員（工作地點：新北市土城區）,NCCC_財團法人聯合信用卡處理中心,1人,"其他資訊專業人員
、資訊設備管制人員
、網路管理工程師","月薪41,125~44,215元",不拘,大學,新北市土城區中央路4段51號6樓(236),不拘,"一、大學（含）以上資訊或電機相關科系畢業，非資訊或電機相關科系須具1年（含）以上
        系統操作工作經驗。
二、需配合三班（早班、小夜班、大夜班）及假日輪值工作。
三、具服務熱忱，主動積極並擅溝通協調。

※筆試、性向測驗： 114年6月21日（六）於台北市舉辦；考試科目：國文（論文與公 
                                    文）、英文（選擇題）、性向測驗、電腦概論（選擇題）。
※面試：預訂於114年6月24日至30日間舉辦。

【福利與待遇】
一、月薪：NT$41,125~NT$44,215（夜勤津貼另計）。
二、福利：
  （一）年終獎金、三節福利金、團保、健康檢查、自強活動、生日禮、生育津貼、子女教
              育津貼等。
  （二）除按月提繳6%勞退公提金，本中心另再按月提撥月提繳工資3%至本中心信託專
              戶，待成就給付條件後給付。"
d16b41f4-a8cc-4995-ae83-19a72766889a,[F]資訊_ERP系統工程師(華亞廠),穩懋半導體股份有限公司,1人,MIS程式設計師,待遇面議,不拘,大學、碩士,桃園市龜山區華亞二路 358 號,不拘,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/85

企業資源規劃系統 (ERP)
1.系統分析/開發/維護
2.企業流程再造、優化
3.與其他系統整合

本公司ERP系統開發並非使用網頁設計相關程式語言及工具，但是錄取後會提供完整教育訓練。"
84f66376-d24b-448c-b3a5-c96e139b0575,IT Manager(出差地美國.歐.澳),信孚產業股份有限公司,1人,"MIS高階主管
、軟體工程研發高階主管
、電子商務技術高階主管",待遇面議,不拘,專科、大學、碩士,台北市內湖區瑞光路408號7樓,5年以上,"• Ability to maintain operation ERP system of Microsoft Dynamics 365 Business Central (upgrades, training, troubleshooting)
• Microsoft Dynamics 365 Business Central Customization (Modifier, VBA, .NET Tools for Microsoft Dynamics 365 Business Central)
• Troubleshoot hardware and software issues related to business operations
• Lead large IT projects, including the design and deployment of new IT systems and services
• Monitor performance of information technology systems to determine cost and productivity levels, and to make recommendations for improving the IT infrastructure
• Help define IT infrastructure strategy, architecture, and processes
• Analyze business requirements by partnering with key stakeholders across the organization to develop solutions for IT needs
• Monitor/Maintain company active directory, DNS, DFS, DHCP, Group Policy
• IIS Administration (Public and Private websites)
• Hyper V configuration and administration
• Monitor and maintain company’s firewall, Switches, WAPs and VPNs
• Monitor company backups and implement Disaster Recovery procedures.
• EDI troubleshooting and Support (850, 810, 846, 856, 997)
• Assess vendors and develop test strategies for new hardware and software
• HVAC scheduling, monitoring and troubleshooting
• Negotiate Vendor contracts and Purchase Computer related equipment
• Ability to learn quickly and work independently
• Able to work outside of regular business hours if assigned/ required
• Other duties as assigned."
48ca5dca-d96f-4d22-ac0a-5629ba7f8652,[F]資訊_資料庫系統工程師(龜山廠),穩懋半導體股份有限公司,1人,"資料庫管理人員
、系統工程師",待遇面議,不拘,專科、大學、碩士,桃園市龜山區山鶯路200-5號,2年以上,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】
請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/81

1. 資料庫系統維運(DB2、SQL Server、Oracle)
2. 作業系統維運(Windows Server、Red Hat、AIX)
3. 資料庫/系統監控、更新、異常排除、效能調教
4. 虛擬平台維運(vSphere、Docker)
5. 新技術研究與專案導入
6. 主管交辦事項
7. 需配合On call
8. 熟悉一種以上資料庫產品與Linux尤佳"
1d4285b4-e443-41c8-81db-ecffb78f241e,[F]資訊_MES/CIM程式設計工程師(龜山/華亞),穩懋半導體股份有限公司,2~4人,"MES工程師
、軟體工程師",待遇面議,MES工廠執行系統規劃管理、設計導入製造執行系統（MES）,專科、大學、碩士,桃園市龜山區科技七路69號(華亞科技園區)(333),3年以上,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】
請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網址:https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/91

1.製造生產系統(MES)規劃、建置、整合及持續優化，提升生產效率。 
2.開發與分析生產製造資訊相關報表。
3.專案管理及專案狀況彙整 。
4.熟悉.NET開發。
5.需配合on-call一周。"
46027943-7698-4ed7-b347-2fd93c16706c,P5-資訊儲備幹部,翔鑫堡工業股份有限公司,1~5人,"軟體工程師
、MES工程師
、網路管理工程師",待遇面議,不拘,大學以上,東南亞,不拘,"我們正積極擴展資訊部門與優化系統架構，期待熱愛挑戰、具備創新思維的資訊人才加入我們的團隊，共同開創數位化未來！
我們尊重每一位員工的特質，更重視個人持續成長及潛力發揮， 
本公司有著完整的職前訓練，分別於台灣南崗廠以及海外生產基地培訓，結訓合格後將分發以下職務：

* JAVA程式設計師
* SAP ABAP程式開發工程師
* 系統後端工程師
* 軟體應用系統工程師
* MES軟體工程師
* 網路系統工程師
* BI & AI 分析工程師

加入我們，您將獲得：
* 參與高效能系統架構與數位化轉型專案的實戰經驗
* 國際化視野與多元的成長平台
* 良好的職涯發展與完善的培訓機制

請把握機會投遞此項職缺，我們將竭誠為您安排相關面談事宜，謝謝。"
e1e24f3a-7f95-44e7-8f2b-c43b1b557305,[F]資訊風險_資安專案(儲備)主管,穩懋半導體股份有限公司,1人,"MIS程式設計師
、網路安全分析師
、其他資訊專業人員",待遇面議,不拘,大學、碩士,桃園市龜山區華亞科技園區華亞二路358號,8年以上,"【本職缺可透過104應徵，也歡迎直接至穩懋官方網站投遞，可增加履歷曝光度】
請至穩懋官方網站投遞個人履歷表，此職缺履歷登錄網https://www.winfoundry.com/WinTalentPool/JobRequirement/Edit/912

1.管理制度：維護公司資訊安全管理制度相關文件(如ISO 27001相關文件)，持續追蹤海內外資安合規要求，並更新管理制度，包含回覆及整理客戶之資訊安全需求。
2.威脅與弱點管理：蒐集及分析威脅與弱點相關情報、執行弱點掃瞄及滲透或社交工程演練，並持續追踪改善作業執行狀態。
3.合規管制：監控、協助資訊安全管理制度之運行，並適時提出矯正。
4.稽核活動：辦理資訊安全內、外部稽核(包含公司內部稽核、外部 ISO驗證、供應商稽核)活動，與追蹤相關改善措施。
5.解決方案：研究及提出資訊服務安全和相關解決方案。
6.教育訓練：規劃及執行資訊安全教育訓練。"
c8801e6b-b7a5-43a5-93e0-0f5ca43482c5,[F]資訊_網路管理工程師(龜山廠),穩懋半導體股份有限公司,1人,"網路管理工程師
、系統工程師",待遇面議,不拘,專科、大學、碩士,桃園市龜山區,1年以上,"1.網路設備日常監控與告警處理，能獨立分析處理網路異常問題
2.具備跨部門聯繫與user溝通能力
3.IT例行作業(流量報表檢視報告、設備CVE漏洞更新、合規性檢查)
4.具大型網路( IP Networking ) 規劃及管理經驗者佳
5.具備獨立維護Router/Switch/Firewall/Proxy/Lorad Balance/VPN管理經驗
6.ISO 27001相關管理執行"
6134b6b5-52b0-4473-bab3-3839b46d3ae9,資料分析師 Data Analyst,艾奈科技有限公司,不限,"數據分析師
、系統分析師
、資料科學家","年薪1,000,000~1,800,000元",不拘,大學、碩士,台北市信義區松高路77號38樓之1,3年以上,"▍About this role

您將擔任 資料分析師 Data Analyst，負責本公司在 廣告投放、預算優化、遊戲營運與用戶成長 等領域的核心數據分析工作。
透過 Python 與 SQL 工具，挖掘商業數據中的價值，並為平台在全球市場擴展提供策略支援。
此職位將與 行銷、產品、營運 等多個部門密切合作，共同推動業績成長與決策優化。

▍Responsibility

• 分析業務數據，產出可行洞察，驅動商業與營運成長
• 結合微觀用戶行為與宏觀市場趨勢，提出具策略性的分析建議
• 支援廣告成效與用戶導入優化
• 持續優化資料分析流程與報表架構，提高決策效率與準確性
• 規劃與執行 A/B 測試，提供實證基礎的產品與營運調整建議"
